latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,region
-4.33177,102.94646,332.78,0.41,0.37,2023-09-01,643,N,VIIRS,n,2,298.43,4.29,D,0,sumatra
-4.33014,104.19402,332.99,0.45,0.39,2023-09-01,643,N,VIIRS,l,2,305.28,2.69,D,0,sumatra
-4.32596,104.12679,334.96,0.45,0.39,2023-09-01,643,N,VIIRS,l,2,308.93,3.59,D,0,sumatra
-4.312,105.399,333.46,0.52,0.42,2023-09-01,643,N,VIIRS,l,2,305.03,5.39,D,0,sumatra
-4.30913,105.40201,345.59,0.52,0.42,2023-09-01,643,N,VIIRS,n,2,307.63,31.79,D,0,sumatra
-4.20682,105.46554,334.27,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,304,3.24,D,0,sumatra
-4.1998,104.19627,330.35,0.46,0.39,2023-09-01,643,N,VIIRS,l,2,304.39,2.11,D,0,sumatra
-4.18965,104.19053,331.9,0.46,0.39,2023-09-01,643,N,VIIRS,l,2,305.99,4.21,D,0,sumatra
-4.18381,104.22751,332.35,0.46,0.39,2023-09-01,643,N,VIIRS,l,2,306.04,2.15,D,0,sumatra
-4.18303,103.8202,334.82,0.44,0.38,2023-09-01,643,N,VIIRS,n,2,305.09,4.31,D,0,sumatra
-4.1827,103.93977,332.41,0.44,0.39,2023-09-01,643,N,VIIRS,n,2,301.84,2.28,D,0,sumatra
-4.1807,103.71893,333.09,0.43,0.38,2023-09-01,643,N,VIIRS,n,2,302,2.19,D,0,sumatra
-4.14736,103.90962,338.45,0.44,0.39,2023-09-01,643,N,VIIRS,n,2,304.28,5.33,D,0,sumatra
-4.1173,102.70761,332.44,0.4,0.37,2023-09-01,643,N,VIIRS,n,2,289.96,0.91,D,0,sumatra
-4.01517,103.67058,331.02,0.43,0.38,2023-09-01,643,N,VIIRS,n,2,301.66,2.13,D,0,sumatra
-3.98875,105.09193,337.3,0.51,0.41,2023-09-01,643,N,VIIRS,n,2,299.98,3.78,D,0,sumatra
-3.9862,103.90676,355.97,0.44,0.39,2023-09-01,643,N,VIIRS,n,2,320.13,104.2,D,0,sumatra
-3.98326,103.90218,335.96,0.44,0.39,2023-09-01,643,N,VIIRS,n,2,303.89,6.35,D,0,sumatra
-3.98264,103.9062,345.08,0.44,0.39,2023-09-01,643,N,VIIRS,n,2,305.97,6.35,D,0,sumatra
-3.97827,102.51991,338.99,0.4,0.37,2023-09-01,643,N,VIIRS,n,2,298.71,6.47,D,0,sumatra
-3.92928,103.96815,348.11,0.45,0.39,2023-09-01,643,N,VIIRS,n,2,309.04,7.48,D,0,sumatra
-3.91266,103.44896,335.84,0.43,0.38,2023-09-01,643,N,VIIRS,n,2,304.64,3.66,D,0,sumatra
-3.86614,105.41898,339.33,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,302.71,6.14,D,0,sumatra
-3.86521,105.42039,336.97,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,300.85,6.18,D,0,sumatra
-3.86506,105.39577,347.04,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,303.91,6.66,D,0,sumatra
-3.86209,105.41498,345.95,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,305.86,13.39,D,0,sumatra
-3.85971,105.40475,332.07,0.53,0.42,2023-09-01,643,N,VIIRS,l,2,306.41,8.09,D,0,sumatra
-3.8466,105.41258,335.7,0.53,0.42,2023-09-01,643,N,VIIRS,l,2,308.65,12.25,D,0,sumatra
-3.83047,105.43967,332.55,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,300.66,2.81,D,0,sumatra
