date,time,wind_speed_kmh,wind_direction_degrees
2025-09-12,2025-09-12T10:00,6.9,293
2025-09-12,2025-09-12T11:00,8.9,306
2025-09-12,2025-09-12T12:00,9.1,295
2025-09-12,2025-09-12T13:00,8.4,286
2025-09-12,2025-09-12T14:00,10.5,282
2025-09-12,2025-09-12T15:00,13.9,308
2025-09-12,2025-09-12T16:00,12.1,310
2025-09-12,2025-09-12T17:00,9,316
2025-09-12,2025-09-12T18:00,7.8,322
2025-09-12,2025-09-12T19:00,6.4,320
2025-09-12,2025-09-12T20:00,4.7,302
2025-09-12,2025-09-12T21:00,8.9,251
2025-09-12,2025-09-12T22:00,1.7,302
2025-09-12,2025-09-12T23:00,0.4,153
2025-09-13,2025-09-13T00:00,2.9,150
2025-09-13,2025-09-13T01:00,1.6,174
2025-09-13,2025-09-13T02:00,5.3,170
2025-09-13,2025-09-13T03:00,3,73
2025-09-13,2025-09-13T04:00,2.7,94
2025-09-13,2025-09-13T05:00,2.1,38
2025-09-13,2025-09-13T06:00,1.5,69
2025-09-13,2025-09-13T07:00,2.4,193
2025-09-13,2025-09-13T08:00,4.5,173
2025-09-13,2025-09-13T09:00,2.3,157
2025-09-13,2025-09-13T10:00,1.5,150
2025-09-13,2025-09-13T11:00,2,153
2025-09-13,2025-09-13T12:00,3.7,215
2025-09-13,2025-09-13T13:00,8.3,254
2025-09-13,2025-09-13T14:00,10.6,268
2025-09-13,2025-09-13T15:00,9.2,277
2025-09-13,2025-09-13T16:00,4.9,278
2025-09-13,2025-09-13T17:00,3.4,335
2025-09-13,2025-09-13T18:00,2.9,360
2025-09-13,2025-09-13T19:00,2.1,340
2025-09-13,2025-09-13T20:00,3.1,260
2025-09-13,2025-09-13T21:00,2.3,198
2025-09-13,2025-09-13T22:00,0.4,117
2025-09-13,2025-09-13T23:00,0.7,104
2025-09-14,2025-09-14T00:00,0.9,127
2025-09-14,2025-09-14T01:00,2.1,121
2025-09-14,2025-09-14T02:00,3.9,56
2025-09-14,2025-09-14T03:00,2.2,55
2025-09-14,2025-09-14T04:00,2.2,81
2025-09-14,2025-09-14T05:00,0.9,127
2025-09-14,2025-09-14T06:00,0.7,90
2025-09-14,2025-09-14T07:00,1.6,90
2025-09-14,2025-09-14T08:00,3.5,114
2025-09-14,2025-09-14T09:00,2.4,48
2025-09-14,2025-09-14T10:00,2.6,115
2025-09-14,2025-09-14T11:00,3.1,177
2025-09-14,2025-09-14T12:00,4.8,195
2025-09-14,2025-09-14T13:00,6.2,210
2025-09-14,2025-09-14T14:00,5.7,193
2025-09-14,2025-09-14T15:00,7.1,174
2025-09-14,2025-09-14T16:00,5.6,178
2025-09-14,2025-09-14T17:00,5.9,168
2025-09-14,2025-09-14T18:00,6.1,183
2025-09-14,2025-09-14T19:00,3.1,201
2025-09-14,2025-09-14T20:00,6.7,207
2025-09-14,2025-09-14T21:00,3.8,355
2025-09-14,2025-09-14T22:00,1.7,18
2025-09-14,2025-09-14T23:00,15.1,225
2025-09-15,2025-09-15T00:00,5,178
2025-09-15,2025-09-15T01:00,3.2,71
2025-09-15,2025-09-15T02:00,5.2,59
2025-09-15,2025-09-15T03:00,7,55
2025-09-15,2025-09-15T04:00,5.2,96
2025-09-15,2025-09-15T05:00,8,38
2025-09-15,2025-09-15T06:00,6.3,35
2025-09-15,2025-09-15T07:00,4.1,52
2025-09-15,2025-09-15T08:00,5.5,38
2025-09-15,2025-09-15T09:00,5.9,14
2025-09-15,2025-09-15T10:00,6.9,33
2025-09-15,2025-09-15T11:00,3.9,317
2025-09-15,2025-09-15T12:00,2.5,330
2025-09-15,2025-09-15T13:00,2.1,308
2025-09-15,2025-09-15T14:00,2.8,207
2025-09-15,2025-09-15T15:00,6.6,253
2025-09-15,2025-09-15T16:00,5.9,272
2025-09-15,2025-09-15T17:00,4.5,256
2025-09-15,2025-09-15T18:00,6.2,232
2025-09-15,2025-09-15T19:00,6.6,241
2025-09-15,2025-09-15T20:00,3.9,242
2025-09-15,2025-09-15T21:00,3.6,139
2025-09-15,2025-09-15T22:00,2.4,103
2025-09-15,2025-09-15T23:00,3.4,90
2025-09-16,2025-09-16T00:00,0.7,76
2025-09-16,2025-09-16T01:00,10.9,246
2025-09-16,2025-09-16T02:00,7.5,191
2025-09-16,2025-09-16T03:00,6.1,113
2025-09-16,2025-09-16T04:00,5.8,54
2025-09-16,2025-09-16T05:00,2.7,53
2025-09-16,2025-09-16T06:00,0.7,360
2025-09-16,2025-09-16T07:00,2.9,47
2025-09-16,2025-09-16T08:00,2.3,148
2025-09-16,2025-09-16T09:00,7.4,84
2025-09-16,2025-09-16T10:00,7.3,107
2025-09-16,2025-09-16T11:00,5.1,170
2025-09-16,2025-09-16T12:00,6.5,212
2025-09-16,2025-09-16T13:00,7.2,217
2025-09-16,2025-09-16T14:00,9,218
2025-09-16,2025-09-16T15:00,5.7,226
2025-09-16,2025-09-16T16:00,6.2,226
2025-09-16,2025-09-16T17:00,6.9,245
2025-09-16,2025-09-16T18:00,4.6,252
2025-09-16,2025-09-16T19:00,3.7,235
2025-09-16,2025-09-16T20:00,4.3,237
2025-09-16,2025-09-16T21:00,4,51
2025-09-16,2025-09-16T22:00,4.7,32
2025-09-16,2025-09-16T23:00,3.6,37
2025-09-17,2025-09-17T00:00,3.7,47
2025-09-17,2025-09-17T01:00,1.3,8
2025-09-17,2025-09-17T02:00,9.5,289
2025-09-17,2025-09-17T03:00,3.1,50
2025-09-17,2025-09-17T04:00,3.7,76
2025-09-17,2025-09-17T05:00,1.3,98
2025-09-17,2025-09-17T06:00,2,153
2025-09-17,2025-09-17T07:00,0.7,180
2025-09-17,2025-09-17T08:00,3.1,173
2025-09-17,2025-09-17T09:00,4.4,52
2025-09-17,2025-09-17T10:00,2.2,99
2025-09-17,2025-09-17T11:00,2.3,119
2025-09-17,2025-09-17T12:00,2,135
2025-09-17,2025-09-17T13:00,3.4,183
2025-09-17,2025-09-17T14:00,4.3,213
2025-09-17,2025-09-17T15:00,4.7,227
2025-09-17,2025-09-17T16:00,5.7,224
2025-09-17,2025-09-17T17:00,5.4,222
2025-09-17,2025-09-17T18:00,4.2,216
2025-09-17,2025-09-17T19:00,2.5,225
2025-09-17,2025-09-17T20:00,3.4,205
2025-09-17,2025-09-17T21:00,0.6,72
2025-09-17,2025-09-17T22:00,2.3,51
2025-09-17,2025-09-17T23:00,1,68
2025-09-18,2025-09-18T00:00,4.3,73
2025-09-18,2025-09-18T01:00,2.4,126
2025-09-18,2025-09-18T02:00,2.8,165
2025-09-18,2025-09-18T03:00,3.4,122
2025-09-18,2025-09-18T04:00,1.8,79
2025-09-18,2025-09-18T05:00,2.9,68
2025-09-18,2025-09-18T06:00,3.3,45
2025-09-18,2025-09-18T07:00,4,51
2025-09-18,2025-09-18T08:00,5.5,41
2025-09-18,2025-09-18T09:00,3.5,99
2025-09-18,2025-09-18T10:00,6.6,167
2025-09-18,2025-09-18T11:00,6.7,177
2025-09-18,2025-09-18T12:00,6.6,189
2025-09-18,2025-09-18T13:00,5.3,192
2025-09-18,2025-09-18T14:00,7.1,196
2025-09-18,2025-09-18T15:00,7.4,202
2025-09-18,2025-09-18T16:00,6.9,203
2025-09-18,2025-09-18T17:00,7.2,215
2025-09-18,2025-09-18T18:00,5.4,206
2025-09-18,2025-09-18T19:00,3.9,208
2025-09-18,2025-09-18T20:00,3.9,204
2025-09-18,2025-09-18T21:00,3.2,109
2025-09-18,2025-09-18T22:00,4.2,72
2025-09-18,2025-09-18T23:00,2.8,45
2025-09-19,2025-09-19T00:00,2.2,55
2025-09-19,2025-09-19T01:00,2.3,90
2025-09-19,2025-09-19T02:00,1.1,18
2025-09-19,2025-09-19T03:00,0.7,76
2025-09-19,2025-09-19T04:00,0.4,27
2025-09-19,2025-09-19T05:00,4.5,284
2025-09-19,2025-09-19T06:00,4.9,6
2025-09-19,2025-09-19T07:00,2.9,120
2025-09-19,2025-09-19T08:00,4.9,86
2025-09-19,2025-09-19T09:00,3.6,110
2025-09-19,2025-09-19T10:00,1,59
2025-09-19,2025-09-19T11:00,2.3,72
2025-09-19,2025-09-19T12:00,3.7,145
2025-09-19,2025-09-19T13:00,2.9,184
2025-09-19,2025-09-19T14:00,3.1,201
2025-09-19,2025-09-19T15:00,3.4,223
2025-09-19,2025-09-19T16:00,3.1,234
2025-09-19,2025-09-19T17:00,3.1,193
2025-09-19,2025-09-19T18:00,4.4,142
2025-09-19,2025-09-19T19:00,4.2,175
2025-09-19,2025-09-19T20:00,5.5,229
2025-09-19,2025-09-19T21:00,3.2,286
2025-09-19,2025-09-19T22:00,2.5,360
2025-09-19,2025-09-19T23:00,2.1,75
2025-09-20,2025-09-20T00:00,2.8,55
2025-09-20,2025-09-20T01:00,3.3,45
2025-09-20,2025-09-20T02:00,2.6,16
2025-09-20,2025-09-20T03:00,2.6,51
2025-09-20,2025-09-20T04:00,1.7,77
2025-09-20,2025-09-20T05:00,1.3,16
2025-09-20,2025-09-20T06:00,0.6,108
2025-09-20,2025-09-20T07:00,1.3,106
2025-09-20,2025-09-20T08:00,2.6,56
2025-09-20,2025-09-20T09:00,3.1,135
2025-09-20,2025-09-20T10:00,2.7,180
2025-09-20,2025-09-20T11:00,3.3,216
2025-09-20,2025-09-20T12:00,1.3,254
2025-09-20,2025-09-20T13:00,1.6,153
2025-09-20,2025-09-20T14:00,1.4,310
2025-09-20,2025-09-20T15:00,3.3,319
2025-09-20,2025-09-20T16:00,5,251
2025-09-20,2025-09-20T17:00,7.3,242
2025-09-20,2025-09-20T18:00,6.1,256
2025-09-20,2025-09-20T19:00,7.6,258
2025-09-20,2025-09-20T20:00,3.6,127
2025-09-20,2025-09-20T21:00,1.3,315
2025-09-20,2025-09-20T22:00,2.5,98
2025-09-20,2025-09-20T23:00,3.7,61
2025-09-21,2025-09-21T00:00,2.3,45
2025-09-21,2025-09-21T01:00,4,60
2025-09-21,2025-09-21T02:00,1.3,135
2025-09-21,2025-09-21T03:00,2.4,17
2025-09-21,2025-09-21T04:00,4.8,22
2025-09-21,2025-09-21T05:00,3.6,37
2025-09-21,2025-09-21T06:00,1.7,108
2025-09-21,2025-09-21T07:00,1.9,124
2025-09-21,2025-09-21T08:00,2.8,72
2025-09-21,2025-09-21T09:00,2.2,114
